resource,water_type,object_or_scene,confidence,reason
MIZUsin_room_6Tex_007300,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_007B00,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_008300,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_008B00,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_009300,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_009B00,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_00A300,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_6Tex_00AB00,unknown,scene:MIZUsin/room6,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_002560,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_002D60,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_003560,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_003D60,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_004560,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_7Tex_004D60,unknown,scene:MIZUsin/room7,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_005D98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_005F98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_006198,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_006998,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_007198,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_007398,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_007598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_007D98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_008598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_008D98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_009598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_009D98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00A598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00AD98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00B598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00BD98,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00C598,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_8Tex_00D578,unknown,scene:MIZUsin/room8,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior); IA format (ia16) carries alpha -> transparency/alpha-test likely
MIZUsin_room_9Tex_0036D8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_003ED8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_0046D8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_004ED8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_0056D8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_005ED8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_0066D8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_006ED8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_room_9Tex_0078A8,unknown,scene:MIZUsin/room9,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior); IA format (ia16) carries alpha -> transparency/alpha-test likely
MIZUsin_sceneTex_013C30,unknown,scene:MIZUsin,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_sceneTex_014430,unknown,scene:MIZUsin,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
MIZUsin_sceneTex_015030,unknown,scene:MIZUsin,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior)
gWaterTempleDayEntranceTex,unknown,scene:MIZUsin,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior); IA format (ia16) carries alpha -> transparency/alpha-test likely
gWaterTempleNightEntranceTex,unknown,scene:MIZUsin,LOW,scene texture (offset-named) in MIZUsin; Water Temple predominantly water (scene-level prior); IA format (ia16) carries alpha -> transparency/alpha-test likely
