resource,object_or_scene,confidence,reason,suggested_emissive_strength_class
FIRE_bs_room_0Tex_003068,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_0Tex_003468,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_0Tex_003868,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_0Tex_003A68,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_0Tex_003C68,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_0Tex_004068,scene:FIRE_bs/room0,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_0049D8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_004BD8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_0053D8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_005BD8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_005FD8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_0061D8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_0065D8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_room_1Tex_006DD8,scene:FIRE_bs/room1,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_sceneTex_002C00,scene:FIRE_bs,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_sceneTex_003400,scene:FIRE_bs,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_sceneTex_003C00,scene:FIRE_bs,LOW,scene texture (offset-named) in FIRE_bs,STRONG
FIRE_bs_sceneTex_004400,scene:FIRE_bs,LOW,scene texture (offset-named) in FIRE_bs,STRONG
gDodongosCavernBossLavaFloorTex,scene:ddan_boss/room1,LOW,scene texture (offset-named) in ddan_boss; cavern/dungeon scene-level prior,STRONG
takaraya_room_0Tex_003BE0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_0043E0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_004BE0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_005BE0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_0063E0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_006BE0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_0073E0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_007BE0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_0083E0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_0Tex_0095C0,scene:takaraya/room0,LOW,scene texture (offset-named) in takaraya; IA format (ia4) carries alpha -> transparency/alpha-test likely,MEDIUM
takaraya_room_1Tex_0017F8,scene:takaraya/room1,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_2Tex_001828,scene:takaraya/room2,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_3Tex_001818,scene:takaraya/room3,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_3Tex_002018,scene:takaraya/room3,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_4Tex_001820,scene:takaraya/room4,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_4Tex_002020,scene:takaraya/room4,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_4Tex_002820,scene:takaraya/room4,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_5Tex_0017F8,scene:takaraya/room5,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_5Tex_001FF8,scene:takaraya/room5,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_5Tex_0027F8,scene:takaraya/room5,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_6Tex_0012F8,scene:takaraya/room6,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_6Tex_001AF8,scene:takaraya/room6,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_room_6Tex_0022F8,scene:takaraya/room6,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_sceneTex_0051B0,scene:takaraya,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_sceneTex_0059B0,scene:takaraya,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_sceneTex_0061B0,scene:takaraya,LOW,scene texture (offset-named) in takaraya,MEDIUM
takaraya_sceneTex_0069B0,scene:takaraya,LOW,scene texture (offset-named) in takaraya,MEDIUM
gUnusedNaviDoActionENGTex,group:do_action_static,HIGH,dedicated UI texture group 'do_action_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gUnusedNaviDoActionFRATex,group:do_action_static,HIGH,dedicated UI texture group 'do_action_static'; fairy/Navi effect keyword,STRONG
gUnusedNaviDoActionGERTex,group:do_action_static,HIGH,dedicated UI texture group 'do_action_static'; fairy/Navi effect keyword,STRONG
gUnusedNaviDoActionJPNTex,group:do_action_static,HIGH,dedicated UI texture group 'do_action_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gGreatFairysFountainTitleCardENGTex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; IA format (ia8) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gGreatFairysFountainTitleCardFRATex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; fairy/Navi effect keyword,STRONG
gGreatFairysFountainTitleCardGERTex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; fairy/Navi effect keyword,STRONG
gFairysFountainTitleCardENGTex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; IA format (ia8) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairysFountainTitleCardFRATex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; fairy/Navi effect keyword,STRONG
gFairysFountainTitleCardGERTex,group:place_title_cards,HIGH,dedicated UI texture group 'place_title_cards'; fairy/Navi effect keyword,STRONG
gQuestIconGoronRubyTex,group:icon_item_24_static,HIGH,dedicated UI texture group 'icon_item_24_static'; spiritual stone keyword (glowing iconography),MEDIUM
gQuestIconKokiriEmeraldTex,group:icon_item_24_static,HIGH,dedicated UI texture group 'icon_item_24_static'; spiritual stone keyword (glowing iconography),MEDIUM
gQuestIconZoraSapphireTex,group:icon_item_24_static,HIGH,dedicated UI texture group 'icon_item_24_static'; spiritual stone keyword (glowing iconography),MEDIUM
gItemIconBottleFairyTex,group:icon_item_static,HIGH,dedicated UI texture group 'icon_item_static'; fairy/Navi effect keyword,STRONG
gItemIconOcarinaFairyTex,group:icon_item_static,HIGH,dedicated UI texture group 'icon_item_static'; fairy/Navi effect keyword,STRONG
gBottledFairyItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gBottledFairyItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gBottledFairyItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gBottledFairyItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairyBowItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairyBowItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairyBowItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairyBowItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairyOcarinaItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairyOcarinaItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairyOcarinaItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairyOcarinaItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairySlingshotItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFairySlingshotItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairySlingshotItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; fairy/Navi effect keyword,STRONG
gFairySlingshotItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gGoronsRubyItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gGoronsRubyItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gGoronsRubyItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gGoronsRubyItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gKokiriEmeraldItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gKokiriEmeraldItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gKokiriEmeraldItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gKokiriEmeraldItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gZorasSapphireItemNameENGTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gZorasSapphireItemNameFRATex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gZorasSapphireItemNameGERTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; spiritual stone keyword (glowing iconography),MEDIUM
gZorasSapphireItemNameJPNTex,group:item_name_static,HIGH,dedicated UI texture group 'item_name_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; spiritual stone keyword (glowing iconography),MEDIUM
gNaviCUpENGTex,group:parameter_static,HIGH,dedicated UI texture group 'parameter_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gNaviCUpJPTex,group:parameter_static,HIGH,dedicated UI texture group 'parameter_static'; IA format (ia4) carries alpha -> transparency/alpha-test likely; fairy/Navi effect keyword,STRONG
gFileSelGoronRubyTex,group:title_static,HIGH,dedicated UI texture group 'title_static'; spiritual stone keyword (glowing iconography),MEDIUM
gFileSelKokiriEmeraldTex,group:title_static,HIGH,dedicated UI texture group 'title_static'; spiritual stone keyword (glowing iconography),MEDIUM
gFileSelZoraSapphireTex,group:title_static,HIGH,dedicated UI texture group 'title_static'; spiritual stone keyword (glowing iconography),MEDIUM
gSunriseOvercastSkybox1Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseOvercastSkybox2Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseOvercastSkybox3Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseOvercastSkybox4Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseOvercastSkybox5Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetOvercastSkybox1Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetOvercastSkybox2Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetOvercastSkybox3Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetOvercastSkybox4Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetOvercastSkybox5Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseSkybox1Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseSkybox2Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseSkybox3Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseSkybox4Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunriseSkybox5Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetSkybox1Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetSkybox2Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetSkybox3Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetSkybox4Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
gSunsetSkybox5Tex,group:skyboxes,HIGH,skybox/background group 'skyboxes',MEDIUM
